Club Name,Field/Court,Date,Time Slot,Price
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,11:30,"$ 60.000,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,11:30,"$ 60.000,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,12:00,"$ 52.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,12:00,"$ 52.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,12:00,"$ 52.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,12:30,"$ 45.000,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,12:30,"$ 45.000,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,12:30,"$ 45.000,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,13:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,13:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,13:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,13:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,13:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,13:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,14:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,14:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,14:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,14:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,14:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,14:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,15:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,15:00,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,15:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-20,15:30,"$ 37.500,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-20,21:30,"$ 100.000,00 COP"
PADEL ZENTER DEL RIO,Cancha #1,2026-05-20,21:30,"$ 100.000,00 COP"
PADEL ZENTER DEL RIO,Cancha # 3,2026-05-21,06:00,"$ 60.000,00 COP"
PADEL ZENTER DEL RIO,Cancha #2,2026-05-21,06:00,"$ 60.000,00 COP"
